CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
2/11/14,3B,5:20:00,1200 E North Av,Robbery - Street,,342,Eastern,East Baltimore Midway,39.31181,-76.60248
2/11/14,1F,713,3900 The Alameda,Homicide,Firearm,412,Northeastern,Ednor Gardens-Lakeside,39.3362,-76.59795
2/11/14,4C,8:30:00,0 S Ann St,Agg. Assault,Other,212,Southeastern,Washington Hill,39.29106,-76.59171
2/11/14,3CF,11:10:00,0 W 22Nd St,Robbery - Commercial,Firearm,514,Northern,Old Goucher,39.31424,-76.61734
2/11/14,3D,14:25:00,1200 W Pratt St,Robbery - Commercial,,932,Southern,Washington Village/Pigtown,39.28558,-76.63741
2/11/14,4C,15:20:00,1200 N Bentalou St,Agg. Assault,Other,723,Western,Bridgeview/Greenlawn,39.3018,-76.65367
2/11/14,3AF,18:00:00,4200 Frankford Av,Robbery - Street,Firearm,444,Northeastern,Frankford,39.33806,-76.55158
2/11/14,4A,19:30:00,5300 Gwynn Oak Ave,Agg. Assault,Firearm,622,Northwestern,Howard Park,39.32903,-76.70594
2/11/14,1F,2042,500 E 35Th St,Homicide,Firearm,543,Northern,Waverly,39.33097,-76.60891
2/11/14,4B,21:27:00,2100 N Fulton Av,Agg. Assault,Knife,733,Western,Penn North,39.31223,-76.64647
2/11/14,4B,22:30:00,5700 Maplehill Rd,Agg. Assault,Knife,415,Northeastern,Loch Raven,39.35689,-76.57723
2/11/14,4B,22:30:00,5700 Maplehill Rd,Agg. Assault,Knife,415,Northeastern,Loch Raven,39.35689,-76.57723
2/11/14,4D,23:15:00,2600 Dulany St,Agg. Assault,Hands,841,Southwestern,Millhill,39.27942,-76.65846
2/11/14,4D,23:40:00,400 E Baltimore St,Agg. Assault,Hands,111,Central,Downtown,39.28977,-76.60991
2/10/14,3K,6:50:00,2000 Ramblewood Rd,Robbery - Residence,,415,Northeastern,Loch Raven,39.35795,-76.57741
2/10/14,4C,10:00:00,800 Rappolla St,Agg. Assault,Other,242,Southeastern,Greektown,39.28388,-76.55281
2/10/14,4D,10:43:00,3800 Woodlea Av,Agg. Assault,Hands,426,Northeastern,Waltherson,39.33942,-76.55954
2/10/14,3D,10:56:00,2100 E Monument St,Robbery - Commercial,,321,Eastern,CARE,39.29862,-76.58715
2/10/14,2A,12:44:55,100 N Streeper St,Rape,Other,222,Southeastern,Patterson Park Neighborhood,39.29373,-76.57703
2/10/14,3B,12:48:00,5100 Elmer Av,Robbery - Street,,614,Northwestern,Central Park Heights,39.3469,-76.6779
2/10/14,3P,14:55:00,1100 Covington St,Robbery - Street,,943,Southern,Riverside,39.2771,-76.60701
2/10/14,4B,15:19:00,400 Pitman Pl,Agg. Assault,Knife,311,Eastern,Greenmount West,39.30845,-76.60966
2/10/14,4C,15:44:00,2100 Ramsay St,Agg. Assault,Other,841,Southwestern,Carrollton Ridge,39.28299,-76.65029
2/10/14,3AF,15:45:00,4400 Frederick Av,Robbery - Street,Firearm,833,Southwestern,Irvington,39.28156,-76.6887
2/10/14,3AF,15:45:00,4400 Frederick Av,Robbery - Street,Firearm,833,Southwestern,Irvington,39.28156,-76.6887
2/10/14,4B,16:00:00,2100 W Lexington St,Agg. Assault,Knife,714,Western,Penrose/Fayette Street Outreach,39.29041,-76.65073
2/10/14,4B,16:00:00,2100 W Lexington St,Agg. Assault,Knife,714,Western,Penrose/Fayette Street Outreach,39.29041,-76.65073
2/10/14,2A,16:35:03,2000 Frederick Av,Rape,Other,842,Southwestern,Boyd-Booth,39.28598,-76.64938
2/10/14,4C,16:50:00,5700 Belle Vista Av,Agg. Assault,Other,425,Northeastern,Glenham-Belhar,39.34618,-76.54741
2/10/14,3B,18:00:00,1100 Elbank Ave,Robbery - Street,,522,Northern,Glen Oaks,39.36529,-76.59455
2/10/14,3AF,18:15:00,,Robbery - Street,Firearm,842,Southwestern,Shipley Hill,39.28827,-76.65928
2/10/14,3AF,18:35:00,,Robbery - Street,Firearm,833,Southwestern,Yale Heights,39.27344,-76.69328
2/10/14,1F,2045,1500 Pennsylvania Av,Homicide,Firearm,123,Central,Upton,39.30259,-76.63353
2/10/14,3AF,22:25:00,1100 Park Av,Robbery - Street,Firearm,132,Central,Bolton Hill,39.30482,-76.62113
2/10/14,3AF,22:45:00,1400 Eastern Av,Robbery - Street,Firearm,213,Southeastern,Fells Point,39.2854,-76.59817
