CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
1/18/16,2:00:00,7A,5000 RAINTREE WAY,AUTO THEFT,,442,NORTHEASTERN,Parkside,39.32133,-76.55326
1/18/16,14:00:00,6D,100 ALBEMARLE ST,LARCENY FROM AUTO,,211,SOUTHEASTERN,Jonestown,39.28824,-76.60359
1/18/16,14:08:00,6C,0 E FAYETTE ST,LARCENY,,111,CENTRAL,Downtown,39.29037,-76.61456
1/18/16,14:20:00,5A,1600 NORTHWICK RD,BURGLARY,,412,NORTHEASTERN,Hillen,39.34348,-76.58859
1/18/16,14:28:00,6C,3500 BOSTON ST,LARCENY,,233,SOUTHEASTERN,Canton Industrial Area,39.27705,-76.56694
1/18/16,14:33:00,3AF,AV & E EAGER ST,ROBBERY - STREET,FIREARM,312,EASTERN,Johnston Square,39.30135,-76.60727
1/18/16,14:35:00,6G,400 E 20TH ST,LARCENY,,341,EASTERN,Barclay,39.31244,-76.61049
1/18/16,15:15:00,6G,3200 TIOGA PKWY,LARCENY,,731,NORTHWESTERN,Mondawmin,39.318,-76.65821
1/18/16,15:20:00,5D,0 MARKET PL,BURGLARY,,111,CENTRAL,Downtown,39.2894,-76.60669
1/18/16,15:35:00,6J,ST & N STRICKER ST,LARCENY,,711,WESTERN,Franklin Square,39.29023,-76.64107
1/18/16,16:00:00,5A,1500 W PRATT ST,BURGLARY,,935,SOUTHERN,New Southwest/Mount Clare,39.28537,-76.64179
1/18/16,16:00:00,7A,3200 LILY AVE,AUTO THEFT,,922,SOUTHERN,Cherry Hill,39.24673,-76.63665
1/18/16,16:40:00,3B,BALTIMORE ST & N CHARLES ST,ROBBERY - STREET,,111,CENTRAL,Downtown,39.28953,-76.61515
1/18/16,16:40:00,4E,BALTIMORE ST & N CHARLES ST,COMMON ASSAULT,HANDS,111,CENTRAL,Downtown,39.28953,-76.61515
1/18/16,16:45:00,6J,1200 BONAPARTE AVE,LARCENY,,342,EASTERN,East Baltimore Midway,39.3153,-76.59975
1/18/16,16:55:00,6D,1400 BANK ST,LARCENY FROM AUTO,,211,SOUTHEASTERN,Perkins Homes,39.28646,-76.59757
1/18/16,1607,1F,3400 FAIRVIEW AV,HOMICIDE,FIREARM,642,NORTHWESTERN,Forest Park,39.32185,-76.67475
1/18/16,17:00:00,6D,3500 ROUND RD,LARCENY FROM AUTO,,922,SOUTHERN,Cherry Hill,39.24257,-76.62294
1/18/16,17:00:00,4E,5500 PRICE AVE,COMMON ASSAULT,HANDS,623,NORTHWESTERN,Woodmere,39.34926,-76.68962
1/18/16,17:10:00,6C,1400 SEVERN ST,LARCENY,,941,SOUTHERN,Carroll - Camden Industrial Area,39.27487,-76.6329
1/18/16,17:30:00,6D,1600 ALICEANNA ST,LARCENY FROM AUTO,,213,SOUTHEASTERN,Fells Point,39.28348,-76.59508
1/18/16,17:30:00,6D,2700 PULASKI HWY,LARCENY FROM AUTO,,221,SOUTHEASTERN,McElderry Park,39.29485,-76.57834
1/18/16,17:35:00,3AF,3200 BELAIR RD,ROBBERY - STREET,FIREARM,431,NORTHEASTERN,Clifton Park,39.32074,-76.57477
1/18/16,17:44:00,7A,700 E COLD SPRING LN,AUTO THEFT,,524,NORTHERN,Wrenlane,39.34592,-76.60621
1/18/16,17:50:00,3AO,4000 HAYWARD AVE,ROBBERY - STREET,OTHER,623,NORTHWESTERN,Woodmere,39.34624,-76.6846
1/18/16,17:57:00,4E,600 S PACA ST,COMMON ASSAULT,HANDS,941,SOUTHERN,Ridgely's Delight,39.28301,-76.62475
1/18/16,17:59:00,4E,1800 E LOMBARD ST,COMMON ASSAULT,HANDS,212,SOUTHEASTERN,Washington Hill,39.29048,-76.59161
1/18/16,18:00:00,5A,3300 W GARRISON AVE,BURGLARY,,614,NORTHWESTERN,Central Park Heights,39.34612,-76.67578
1/18/16,18:00:00,5D,3200 GEORGETOWN RD,BURGLARY,,831,SOUTHWESTERN,Morrell Park,39.26199,-76.66362
1/18/16,18:00:00,7A,1100 W MULBERRY ST,AUTO THEFT,,713,WESTERN,Harlem Park,39.29331,-76.63575
1/18/16,18:00:00,6D,100 N DECKER AVE,LARCENY FROM AUTO,,222,SOUTHEASTERN,Patterson Park Neighborhood,39.29391,-76.57412
1/18/16,18:30:00,6D,1700 E 32ND ST,LARCENY FROM AUTO,,411,NORTHEASTERN,Coldstream Homestead Montebello,39.32676,-76.59182
1/18/16,18:50:00,4C,4300 WEST BAY AV,AGG. ASSAULT,OTHER,913,SOUTHERN,Brooklyn,39.22788,-76.59387
